country,fhrev,muslim,income,elf,growth,britcol,postcom,opec
Alb            ,4.09999990462277,1,2.92531209149965,0.26,-0.8,0,1,0
Alg            ,2.15000009535741,1,3.2143138974244,0.31,0.2,0,0,1
Ang            ,1.90000009535741,0,2.82412583391655,0.76,-1.6,0,0,0
Arg            ,5.65,0,3.76207808733464,0.21,0.6,0,0,0
Arm            ,3.94999980925469,0,3.18780263871842,0.16,-6.6,0,1,0
Austria        ,7,0,4.43554178277218,0.14,2.2,0,0,0
Austrl         ,7,0,4.25582708270323,0.13,1.9,1,0,0
Aze            ,2.59999990462277,1,3.02816441942447,0.37,-9.8,0,1,0
Bahr           ,1.85,1,3.9320169064342,0.53,-1.4,0,0,0
Bang           ,4.95000004767414,1,2.43775056282039,0.31,2.4,1,0,0
Bela           ,2.90000009535741,0,3.4410664066392598,0.36,-1.3,0,1,0
Belg           ,6.75,0,4.41067602675495,0.65,1.9,0,0,0
Ben            ,5.99999999998933,0,2.53781909507327,0.9,0.7,0,0,0
Bhut           ,1.15,0,2.58771096501891,0.82,4.3,0,0,0
Bol            ,5.65000009535741,0,2.92220627743902,0.68,-0.2,0,0,0
Bot            ,6,0,3.49471102520526,0.44,5.2,1,0,0
Bra            ,4.90000009535741,0,3.61044722144212,0.03,1.2,0,0,0
Bul            ,5.65000009535741,0,3.23451728351269,0.22,0.2,0,1,0
Burk           ,3.44999980925469,1,2.35218251811136,0.76,1.2,0,0,0
Buru           ,1.5500001907255,0,2.31386722036915,0,-0.4,0,0,0
Camb           ,2.24999999998933,0,2.38021124171161,0.31,2,0,0,0
Camr           ,2.0500001907255,0,2.88309335857569,0.97,0.2,0,0,0
Can            ,7,0,4.28239550474253,0.55,1.5,1,0,0
CAR            ,3.99999999998933,0,2.55990662503611,0.96,-1.2,0,0,0
Chad           ,2.5500001907255,1,2.35793484700045,0.95,-0.4,0,0,0
Chile          ,6,0,3.47523522260413,0.06,4.2,0,0,0
China          ,1.15000009535741,0,2.54282542695918,0.48,7.5,0,0,0
Col            ,4.40000009535741,0,3.32613095671079,0.03,1.7,0,0,0
Com            ,3.85,1,2.71264970162721,0.01,-1.2,0,0,0
Cong-Z         ,1.09999990462277,0,2.39269695325967,0.92,-4.8,0,0,0
Cong           ,3.44999980925469,0,2.9698816437465,0.61,0.6,0,0,0
Cotd'lv        ,2.74999999998933,1,2.89817648349768,0.91,-1,0,0,0
CR             ,6.60000002383173,0,3.3807537708039,0.04,1,0,0,0
Cro            ,4.20000004767414,0,3.73495976127245,0.07,-1.4,0,1,0
Cyp            ,7,0,4.01724208454765,0.37,5.7,1,0,0
Cze            ,6.5,0,3.72181061521255,0.06,2.2,0,1,0
Den            ,7,0,4.4933604457623,0.05,2.1,0,0,0
Dji            ,2.5,1,2.95424250943932,0.58,-4.6,0,0,0
DR             ,5.20000004767414,0,3.13545069934551,0.05,1.9,0,0,0
Ecu            ,5.59999990462277,0,3.16879202031418,0.26,0.8,0,0,0
Egy            ,2.24999999998933,1,2.987219229908,0.46,3.5,0,0,0
ElSal          ,5.15000009535741,0,3.13924921757161,0,-0.2,0,0,0
Est            ,6,0,3.65195606953307,0.48,-0.1,0,1,0
Eth            ,3.09999990462277,1,2,0.84,-0.4,0,0,0
Fiji           ,4.35,0,3.37217528611506,0.6,0.6,1,0,0
Fin            ,7,0,4.41425449711394,0.14,2,0,0,0
Fra            ,6.5,0,4.40864692565577,0.24,1.8,0,0,0
Gab            ,3.65000009535741,0,3.64757855421246,0.53,-1.5,0,0,0
Gam            ,3.0500001907255,1,2.57287160220048,0.73,0,1,0,0
Geo            ,3.69999980925469,0,3.32531037171106,0.57,-4,0,1,0
Ger            ,6.5,0,4.35640832703898,0.18,1.2,0,0,0
Gha            ,4.09999990462277,0,2.54654266347813,0.79,-0.1,1,0,0
Gre            ,6.1,0,4.03080204877227,0.14,1.6,0,0,0
Guat           ,4.04999995230605,0,3.13289976994448,0.6,0.5,0,0,0
Guin-B         ,3.69999980925469,0,2.34830486304816,0.85,-1.1,0,0,0
Guin           ,2.49999999998933,1,2.72591163229505,0.75,1.4,0,0,0
Guy            ,5.65,0,2.74350976472843,0.07,-0.2,1,0,0
Hai            ,2.44999980925469,0,2.68214507637383,0,-1.3,0,0,0
Hon            ,5.20000004767414,0,2.83378437465648,0.05,0.7,0,0,0
Hun            ,6.4,0,3.68636810347304,0.14,1.4,0,1,0
India          ,4.74999999998933,0,2.51982799377572,0.93,3,1,0,0
Indo           ,3.15000009535741,1,2.89097959698969,0.83,4.1,0,0,1
Iran           ,1.69999980925469,1,3.02366391819779,0.76,-1,0,0,1
Iraq           ,0.999999999989331,1,3.38738982633873,0.65,-3.5,0,0,1
Ire            ,7,0,4.14323345465317,0.17,4.4,0,0,0
Isr            ,6.05,0,4.132451812729,0.65,1.8,0,0,0
Ita            ,6.5,0,4.2586612233256,0.59,2.2,0,0,0
Jam            ,5.74999999998933,0,3.21774707326279,0.01,-0.7,1,0,0
Japan          ,6.43,0,4.58785682755667,0.03,2.6,0,0,0
Jor            ,4.04999995230605,1,3.15715443990628,0.48,1.8,0,0,0
Kaz            ,3.15000009535741,1,3.31659930209386,0.7,-4.7,0,1,0
Ken            ,2.24999999998933,0,2.55022835305509,0.9,0.5,1,0,0
Kuw            ,3.1,1,4.10037054511756,0.54,-1.3,0,0,1
Kyr            ,4.09999990462277,1,3.19368102954128,0.67,-3.4,0,1,0
Laos           ,1.49999999998933,0,2.50650503240487,0.56,4.3,0,0,0
Lat            ,5.90000009535741,0,3.56855371204944,0.6,-0.8,0,1,0
Leb            ,2.65000009535741,1,3.23578087032756,0.14,2,0,0,0
Les            ,3.84999990462277,0,2.568201724067,0.26,3.5,1,0,0
Libr           ,2.24999999998933,0,2.22010808804006,0.91,-8.6,0,0,0
Liby           ,0.999999999989331,1,3.80976166510712,0.35,-3.6,0,0,1
Lith           ,6.20000004767414,0,3.50392680419351,0.34,-1.5,0,1,0
