year,fips,naics,emp
2014,01001,11----,58
2014,01001,21----,83
2014,01001,22----,177
2014,01001,23----,349
2014,01001,31----,960
2014,01001,42----,174
2014,01001,44----,2525
2014,01001,48----,137
2014,01001,51----,81
2014,01001,52----,374
2014,01001,53----,107
2014,01001,54----,285
2014,01001,56----,111
2014,01001,61----,174
2014,01001,62----,1614
2014,01001,71----,244
2014,01001,72----,1973
2014,01001,81----,775
2014,01003,11----,19
2014,01003,21----,79
2014,01003,22----,256
2014,01003,23----,2848
2014,01003,31----,4052
2014,01003,42----,2151
2014,01003,44----,13471
2014,01003,48----,927
2014,01003,51----,582
2014,01003,52----,1596
2014,01003,53----,1911
2014,01003,54----,1856
2014,01003,55----,257
2014,01003,56----,2706
2014,01003,61----,946
2014,01003,62----,6953
2014,01003,71----,976
2014,01003,72----,11994
2014,01003,81----,2948
2014,01003,99----,2
2014,01005,11----,163
2014,01005,21----,106
2014,01005,22----,174
2014,01005,23----,131
2014,01005,31----,2341
2014,01005,42----,125
2014,01005,44----,870
2014,01005,48----,382
2014,01005,51----,27
2014,01005,52----,189
2014,01005,53----,41
2014,01005,54----,110
2014,01005,56----,150
2014,01005,61----,59
2014,01005,62----,644
2014,01005,72----,779
2014,01005,81----,186
2014,01007,11----,50
2014,01007,21----,19
2014,01007,22----,59
2014,01007,23----,873
2014,01007,31----,344
2014,01007,42----,78
2014,01007,44----,521
2014,01007,48----,113
2014,01007,51----,29
2014,01007,52----,82
2014,01007,53----,8
2014,01007,54----,48
2014,01007,56----,99
2014,01007,61----,45
2014,01007,62----,645
2014,01007,71----,6
2014,01007,72----,239
2014,01007,81----,163
2014,01009,11----,20
2014,01009,22----,19
2014,01009,23----,326
2014,01009,31----,1159
2014,01009,42----,354
2014,01009,44----,1259
2014,01009,48----,166
2014,01009,51----,39
2014,01009,52----,210
2014,01009,53----,26
2014,01009,54----,218
2014,01009,55----,34
2014,01009,56----,380
2014,01009,62----,968
2014,01009,71----,51
2014,01009,72----,639
2014,01009,81----,573
2014,01009,99----,3
2014,01011,11----,311
2014,01011,22----,59
2014,01011,23----,61
2014,01011,31----,749
2014,01011,42----,6
2014,01011,44----,226
2014,01011,48----,9
2014,01011,51----,19
2014,01011,52----,55
2014,01011,54----,9
2014,01011,61----,19
2014,01011,62----,378
2014,01011,72----,93
2014,01011,81----,59
2014,01013,11----,249
2014,01013,22----,59
2014,01013,23----,254
2014,01013,31----,1327
2014,01013,42----,57
2014,01013,44----,926
2014,01013,48----,339
2014,01013,51----,116
2014,01013,52----,140
2014,01013,53----,24
2014,01013,54----,56
2014,01013,55----,9
2014,01013,56----,431
2014,01013,61----,77
2014,01013,62----,783
2014,01013,71----,184
2014,01013,72----,734
2014,01013,81----,138
2014,01013,99----,13
2014,01015,11----,49
2014,01015,21----,59
2014,01015,22----,174
2014,01015,23----,716
2014,01015,31----,5854
2014,01015,42----,2015
2014,01015,44----,6129
2014,01015,48----,796
2014,01015,51----,605
2014,01015,52----,912
2014,01015,53----,298
2014,01015,54----,1013
2014,01015,55----,148
2014,01015,56----,3055
2014,01015,61----,558
2014,01015,62----,6106
2014,01015,71----,173
2014,01015,72----,4769
2014,01015,81----,1665
2014,01017,11----,164
2014,01017,22----,77
2014,01017,23----,142
2014,01017,31----,1491
2014,01017,42----,110
2014,01017,44----,1123
2014,01017,48----,499
2014,01017,51----,96
2014,01017,52----,150
2014,01017,53----,35
2014,01017,54----,160
2014,01017,56----,96
2014,01017,61----,59
2014,01017,62----,767
2014,01017,71----,39
2014,01017,72----,630
2014,01017,81----,348
2014,01017,99----,2
2014,01019,11----,56
2014,01019,22----,59
2014,01019,23----,85
2014,01019,31----,1113
2014,01019,42----,77
2014,01019,44----,838
2014,01019,48----,87
2014,01019,51----,29
2014,01019,52----,125
2014,01019,53----,47
2014,01019,54----,59
2014,01019,55----,9
2014,01019,56----,49
2014,01019,62----,435
2014,01019,71----,9
2014,01019,72----,390
